"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 12:02:29 GMT 2024","Mon May 27 12:02:32 GMT 2024","2696","chromium","","User Registration","","","Should be able to register new user",""
"passed","Mon May 27 12:02:28 GMT 2024","Mon May 27 12:02:29 GMT 2024","510","chromium","","Notes App e2e flow","","","Should not be able to add Note without title",""
"passed","Mon May 27 12:02:27 GMT 2024","Mon May 27 12:02:28 GMT 2024","969","chromium","","Notes App e2e flow","","","Should be able to Edit a Note",""
"passed","Mon May 27 12:02:26 GMT 2024","Mon May 27 12:02:27 GMT 2024","1318","chromium","","Notes App e2e flow","","","Should be able to Add a Note",""
"passed","Mon May 27 12:02:28 GMT 2024","Mon May 27 12:02:28 GMT 2024","31","chromium","","Notes App e2e flow","","","Should be able to Delete a Note",""
"passed","Mon May 27 12:02:29 GMT 2024","Mon May 27 12:02:29 GMT 2024","262","chromium","","Notes App e2e flow","","","Should be able to logout",""
"passed","Mon May 27 12:02:32 GMT 2024","Mon May 27 12:02:33 GMT 2024","1786","chromium","","User Registration","","","Should not be able to register with existing username",""
"passed","Mon May 27 12:01:11 GMT 2024","Mon May 27 12:02:21 GMT 2024","69456","chromium","","Notes App Login","","","should see user successfully logged in",""
"passed","Mon May 27 12:02:23 GMT 2024","Mon May 27 12:02:26 GMT 2024","2543","chromium","","Notes App e2e flow","","","Should see notes page login",""
"passed","Mon May 27 12:02:21 GMT 2024","Mon May 27 12:02:22 GMT 2024","1443","chromium","","Notes App Login","","","should see error message when login fails",""
